"2015
rank",city,State,"2015
estimate","2011
census",Change,"2015
land area","2015
population
density",Location,civ
41, Hagen, North Rhine-Westphalia,189044,187944,0.59%,"160.45 km2
61.95 sq mi","1,178/km2
3,050/sq mi",51°22'N 7°29'E,germany
42, Hamm, North Rhine-Westphalia,179397,176037,1.91%,"226.43 km2
87.43 sq mi","792/km2
2,050/sq mi",51°41'N 7°49'E,germany
43, Saarbrücken, Saarland,178151,175853,1.31%,"167.09 km2
64.51 sq mi","1,066/km2
2,760/sq mi",49°14'N 7°0'E,germany
44, Mülheim an der Ruhr, North Rhine-Westphalia,169278,166865,1.45%,"91.28 km2
35.24 sq mi","1,854/km2
4,800/sq mi",51°26'N 6°53'E,germany
45, Potsdam, Brandenburg,167745,156021,7.51%,"188.26 km2
72.69 sq mi","891/km2
2,310/sq mi",52°24'N 13°4'E,germany
46, Ludwigshafen am Rhein, Rhineland-Palatinate,164718,157584,4.53%,"77.55 km2
29.94 sq mi","2,124/km2
5,500/sq mi",49°29'N 8°26'E,germany
47, Oldenburg, Lower Saxony,163830,157267,4.17%,"102.99 km2
39.76 sq mi","1,591/km2
4,120/sq mi",53°8'N 8°13'E,germany
48, Leverkusen, North Rhine-Westphalia,163487,158984,2.83%,"78.87 km2
30.45 sq mi","2,073/km2
5,370/sq mi",51°2'N 6°59'E,germany
49, Osnabrück, Lower Saxony,162403,153699,5.66%,"119.8 km2
46.3 sq mi","1,356/km2
3,510/sq mi",52°17'N 8°3'E,germany
50, Solingen, North Rhine-Westphalia,158726,155265,2.23%,"89.54 km2
34.57 sq mi","1,773/km2
4,590/sq mi",51°10'N 7°5'E,germany
51, Heidelberg, Baden-Württemberg,156267,146751,6.48%,"108.84 km2
42.02 sq mi","1,436/km2
3,720/sq mi",49°25'N 8°43'E,germany
52, Herne, North Rhine-Westphalia,155851,155160,0.45%,"51.42 km2
19.85 sq mi","3,031/km2
7,850/sq mi",51°33'N 7°13'E,germany
53, Neuss, North Rhine-Westphalia,155414,150568,3.22%,"99.52 km2
38.42 sq mi","1,562/km2
4,050/sq mi",51°12'N 6°42'E,germany
54, Darmstadt, Hesse,155353,143499,8.26%,"122.09 km2
47.14 sq mi","1,272/km2
3,290/sq mi",49°52'N 8°39'E,germany
55, Paderborn, North Rhine-Westphalia,148126,142365,4.05%,"179.59 km2
69.34 sq mi","825/km2
2,140/sq mi",51°43'N 8°46'E,germany
56, Regensburg, Bavaria,145465,135403,7.43%,"80.7 km2
31.2 sq mi","1,803/km2
4,670/sq mi",49°1'N 12°5'E,germany
57, Ingolstadt, Bavaria,132438,124927,6.01%,"133.37 km2
51.49 sq mi","993/km2
2,570/sq mi",48°46'N 11°26'E,germany
58, Würzburg, Bavaria,124873,124297,0.46%,"87.63 km2
33.83 sq mi","1,425/km2
3,690/sq mi",49°47'N 9°56'E,germany
59, Fürth, Bavaria,124171,115613,7.40%,"63.35 km2
24.46 sq mi","1,960/km2
5,100/sq mi",49°28'N 11°0'E,germany
60, Wolfsburg, Lower Saxony,124045,119984,3.38%,"204.09 km2
78.80 sq mi","608/km2
1,570/sq mi","52°25'23""N 10°47'14""E",germany
61, Offenbach am Main, Hesse,123734,113443,9.07%,"44.89 km2
17.33 sq mi","2,756/km2
7,140/sq mi",50°6'N 8°48'E,germany
62, Ulm, Baden-Württemberg,122636,116761,5.03%,"118.69 km2
45.83 sq mi","1,033/km2
2,680/sq mi",48°24'N 9°59'E,germany
63, Heilbronn, Baden-Württemberg,122567,116059,5.61%,"99.88 km2
38.56 sq mi","1,227/km2
3,180/sq mi",49°9'N 9°13'E,germany
64, Pforzheim, Baden-Württemberg,122247,114411,6.85%,"98 km2
38 sq mi","1,247/km2
3,230/sq mi",48°54'N 8°43'E,germany
65, Göttingen, Lower Saxony,118914,115843,2.65%,"116.89 km2
45.13 sq mi","1,017/km2
2,630/sq mi",51°32'N 9°56'E,germany
66, Bottrop, North Rhine-Westphalia,117143,117311,?0.14%,"100.61 km2
38.85 sq mi","1,164/km2
3,010/sq mi","51°31'29""N 6°55'22""E",germany
67, Trier, Rhineland-Palatinate,114914,105671,8.75%,"117.13 km2
45.22 sq mi","981/km2
2,540/sq mi",49°45'N 6°38'E,germany
68, Recklinghausen, North Rhine-Westphalia,114330,115958,?1.40%,"66.5 km2
25.7 sq mi","1,719/km2
4,450/sq mi","51°35'6""N 7°9'43""E",germany
69, Reutlingen, Baden-Württemberg,114310,109799,4.11%,"87.06 km2
33.61 sq mi","1,313/km2
3,400/sq mi",48°29'N 9°13'E,germany
70, Bremerhaven, Bremen,114025,108156,5.43%,"93.66 km2
36.16 sq mi","1,217/km2
3,150/sq mi",53°33'N 8°35'E,germany
71, Koblenz, Rhineland-Palatinate,112586,107825,4.42%,"105.16 km2
40.60 sq mi","1,071/km2
2,770/sq mi","50°21'35""N 7°35'52""E",germany
72, Bergisch Gladbach, North Rhine-Westphalia,111366,108878,2.29%,"83.09 km2
32.08 sq mi","1,340/km2
3,500/sq mi",51°6'N 7°7'E,germany
73, Jena, Thuringia,109527,105739,3.58%,"114.76 km2
44.31 sq mi","954/km2
2,470/sq mi","50°55'38""N 11°35'10""E",germany
74, Remscheid, North Rhine-Westphalia,109499,110708,?1.09%,"74.52 km2
28.77 sq mi","1,469/km2
3,800/sq mi",51°11'N 7°12'E,germany
75, Erlangen, Bavaria,108336,103719,4.45%,"76.95 km2
29.71 sq mi","1,408/km2
3,650/sq mi",49°35'N 11°1'E,germany
76, Moers, North Rhine-Westphalia,104529,104009,0.50%,"67.68 km2
26.13 sq mi","1,544/km2
4,000/sq mi","51°27'33""N 6°37'11""E",germany
77, Siegen, North Rhine-Westphalia,102355,99187,3.19%,"114.69 km2
44.28 sq mi","892/km2
2,310/sq mi",50°53'N 8°1'E,germany
78, Hildesheim, Lower Saxony,101667,99554,2.12%,"92.18 km2
35.59 sq mi","1,103/km2
2,860/sq mi",52°9'N 9°57'E,germany
79, Salzgitter, Lower Saxony,101079,98895,2.21%,"223.92 km2
86.46 sq mi","451/km2
1,170/sq mi",52°9'N 10°20'E,germany
