city,Province,Region,"2020census
[2]","2010census
[2]",Change,Notes,civ
Tanjungbalai,North Sumatra,Sumatra,176027,154445,13.97%,,indonesia
Tebing Tinggi,North Sumatra,Sumatra,172838,145248,19.00%,,indonesia
Metro,Lampung,Sumatra,168676,145471,15.95%,,indonesia
Bau-Bau,Southeast Sulawesi,Sulawesi,159248,136991,16.25%,,indonesia
Bima,West Nusa Tenggara,Lesser Sunda Islands,155140,142579,8.81%,,indonesia
Parepare,South Sulawesi,Sulawesi,151454,129262,17.17%,,indonesia
Blitar,East Java,Java,149149,131968,13.02%,,indonesia
Pagar Alam,South Sumatra,Sumatra,143844,126181,14.00%,,indonesia
Payakumbuh,West Sumatra,Sumatra,139576,116825,19.47%,,indonesia
Gunungsitoli,North Sumatra,Sumatra,136017,126202,7.78%,,indonesia
Mojokerto City,East Java,Java,132434,120196,10.18%,Satellite city of Surabaya,indonesia
Kotamobagu,North Sulawesi,Sulawesi,123722,107459,15.13%,,indonesia
Magelang,Central Java,Java,121526,118227,2.79%,,indonesia
Bukittinggi,West Sumatra,Sumatra,121028,111312,8.73%,,indonesia
Tidore,North Maluku,Maluku Islands,114480,90055,27.12%,,indonesia
Tomohon,North Sulawesi,Sulawesi,100587,91553,9.87%,Satellite city of Manado,indonesia
Sungai Penuh,Jambi,Sumatra,96610,82293,17.40%,,indonesia
Pariaman,West Sumatra,Sumatra,94224,79043,19.21%,,indonesia
Subulussalam,Aceh,Sumatra,90751,67446,34.55%,,indonesia
Sibolga,North Sumatra,Sumatra,89584,84481,6.04%,,indonesia
Tual,Maluku,Maluku Islands,88280,58082,51.99%,,indonesia
Solok,West Sumatra,Sumatra,73438,59396,23.64%,,indonesia
Sawahlunto,West Sumatra,Sumatra,65138,56866,14.55%,,indonesia
Padang Panjang,West Sumatra,Sumatra,56311,47008,19.79%,,indonesia
Sabang,Aceh,Sumatra,41197,30653,34.40%,,indonesia
